hours_studied,previous_grade,parental_support,attendance,extracurricular,family_income,class_participation,homework_completion,sleep_hours,final_grade
8,98,0,47,0,146888,0,45,18,99
5,59,1,94,0,148242,1,27,17,45
8,61,0,88,1,140412,1,21,17,64
5,99,0,59,1,84367,0,65,6,53
10,62,1,65,1,68652,1,28,19,86
5,41,0,56,1,95814,0,26,16,49
10,73,1,70,0,155881,0,84,18,57
13,84,1,89,0,65726,1,93,10,64
3,66,1,53,0,146018,1,5,12,51
13,31,0,40,0,77930,1,63,7,88
13,36,0,81,1,173005,0,24,17,97
1,33,1,84,1,114461,1,16,21,73
5,69,0,85,1,147701,0,87,12,96
3,74,0,63,1,66078,0,97,14,75
10,55,1,87,1,116623,1,57,21,84
12,99,0,63,0,159875,0,98,14,90
9,59,1,63,0,118373,0,79,11,93
9,97,0,51,0,101027,1,14,10,83
1,34,0,70,1,58072,0,45,5,52
11,48,1,61,1,110328,0,42,11,75
5,85,1,74,0,97244,1,98,10,54
6,86,0,55,0,82195,1,54,8,74
1,30,0,69,0,91282,0,23,7,83
8,87,0,92,0,93522,1,83,7,93
8,92,1,48,0,139968,1,4,18,50
10,33,0,81,1,77948,1,47,15,65
2,37,1,59,1,57991,1,78,12,60
12,75,1,85,0,156189,1,18,6,44
6,89,0,89,0,118195,1,87,21,91
4,94,1,88,1,184229,0,1,18,52
13,71,0,95,0,139682,0,52,15,53
5,96,1,79,1,164908,0,62,18,46
13,70,0,55,1,115004,1,56,12,48
11,42,1,44,1,171942,1,62,6,40
9,97,0,93,1,191344,1,0,21,53
13,76,1,98,0,173594,0,30,23,70
1,58,0,76,0,193589,1,1,17,47
13,48,0,41,1,55718,0,47,16,93
9,65,0,78,1,65705,0,52,12,74
5,31,1,93,1,111209,0,2,15,59
10,31,1,95,0,83577,0,33,20,59
11,61,0,68,1,123665,0,37,17,86
3,50,0,98,0,171815,1,67,22,99
5,93,1,60,1,140975,0,75,23,69
8,78,0,51,1,96335,0,9,11,75
1,39,1,50,0,189247,0,80,22,98
6,49,0,54,0,152921,0,99,20,94
11,50,1,61,1,53491,0,29,19,86
13,99,0,81,0,175134,0,63,14,58
13,94,0,56,0,184408,0,45,22,73
4,66,1,50,1,59626,0,51,10,45
13,78,1,83,0,135251,0,37,16,92
12,94,0,40,1,122527,0,90,8,68
3,41,0,81,1,92707,0,19,9,73
5,44,0,78,1,62781,1,78,16,61
5,41,1,56,1,128664,0,45,10,98
10,36,0,96,0,52525,1,42,14,45
2,77,0,90,0,144942,0,58,18,48
9,77,0,98,1,53470,0,66,6,79
13,93,0,40,1,95246,1,3,13,72
3,88,1,58,1,96009,0,40,12,68
11,37,1,80,0,120106,1,45,20,74
7,70,1,78,1,87052,1,91,13,73
5,42,0,43,1,159913,0,46,16,40
11,37,0,90,0,89662,0,86,17,96
3,73,1,99,0,142084,0,13,15,65
10,69,1,58,0,193027,1,91,19,76
6,84,1,64,1,79451,1,30,17,63
12,85,0,73,1,115994,1,87,20,49
7,72,1,88,1,123828,0,10,8,61
5,95,1,83,0,165807,1,97,17,84
13,33,1,47,0,113643,0,67,9,67
1,57,1,46,0,167178,1,16,14,83
12,73,0,71,0,128143,1,80,13,88
6,80,1,95,0,129982,0,2,21,84
13,52,0,86,1,179844,1,23,10,61
2,46,1,71,0,91656,1,5,12,75
13,94,0,44,1,78042,0,22,14,49
7,64,0,61,1,114238,1,42,8,71
7,66,0,95,1,102109,0,38,15,59
1,92,0,86,1,192827,0,60,9,80
13,51,0,76,0,149151,0,74,12,85
2,35,0,85,0,81184,1,34,8,80
11,34,1,59,0,115230,0,17,16,82
12,55,1,62,0,81941,1,28,23,95
8,36,0,70,0,148882,1,47,11,68
3,98,1,56,1,132542,1,51,9,89
13,73,1,91,0,175011,1,15,15,56
4,79,1,66,0,107024,1,62,17,96
8,68,1,68,0,112976,1,50,19,61
4,46,1,80,0,168984,0,1,19,40
2,37,1,53,1,124471,0,23,18,64
5,60,0,56,0,67447,1,77,21,91
11,45,0,91,0,140035,0,28,9,89
8,34,1,97,1,64636,1,51,15,76
9,36,0,59,1,168668,1,99,21,81
13,95,0,79,1,116956,0,38,5,96
6,88,0,81,0,186303,1,43,17,94
6,93,1,71,1,177409,0,0,14,64
1,67,1,44,1,178104,1,85,9,80
13,55,0,56,0,135524,0,28,14,42
2,32,1,73,0,114224,1,46,19,45
7,48,1,94,0,59714,0,99,8,43
13,47,1,78,1,96851,0,38,18,75
12,71,0,41,1,100783,0,21,11,64
4,72,0,43,0,175724,1,58,15,65
9,81,0,84,1,147991,1,47,8,97
5,84,0,56,0,168919,1,81,9,48
9,69,1,68,1,169106,0,50,23,86
11,90,1,75,0,102551,0,48,20,61
11,92,1,51,1,194371,0,40,7,64
7,58,0,46,1,63615,1,93,23,77
13,38,0,76,1,169074,0,29,8,90
4,44,0,47,1,91191,0,43,16,67
12,35,0,78,0,52174,1,35,11,60
12,32,0,63,1,64443,0,4,19,77
11,32,1,50,1,165731,1,99,14,45
5,47,1,63,1,188130,1,39,12,60
8,51,1,78,1,79102,1,49,18,92
13,64,0,55,1,103572,0,89,21,80
8,58,0,81,0,145127,0,24,15,50
1,71,1,40,0,197530,0,7,10,95
4,68,1,78,1,103946,1,37,9,93
13,76,1,43,0,82677,1,46,9,54
1,82,0,50,0,75408,0,87,8,90
2,94,1,55,0,125081,1,39,23,61
8,34,1,82,0,177332,0,16,14,80
3,78,1,84,1,62556,1,31,5,89
5,50,1,44,1,76268,0,67,9,85
12,83,1,92,0,130666,0,26,21,81
5,52,1,59,1,145203,0,67,14,83
7,97,1,67,0,130971,1,68,11,95
13,52,0,89,0,118057,0,0,10,80
8,37,0,82,0,141457,0,19,17,40
2,96,1,62,1,61594,1,42,23,42
9,83,0,74,1,118242,1,75,20,59
5,37,0,53,1,144289,0,5,13,56
5,61,1,60,1,130731,1,29,21,41
13,82,1,61,1,162975,0,44,5,73
9,68,0,88,0,126287,0,75,22,47
12,78,1,45,0,189765,0,90,17,57
1,72,0,73,1,141545,0,55,18,66
10,89,1,71,0,137472,1,3,22,92
1,72,1,90,1,92932,1,85,13,94
1,37,1,73,0,177599,0,91,17,94
2,96,1,60,0,195159,0,34,10,76
13,95,1,68,0,72662,1,64,20,43
9,57,0,84,0,183987,1,7,15,82
4,84,0,90,0,110294,0,50,21,66
8,90,0,70,1,187391,1,6,18,70
8,42,1,52,0,52554,0,10,16,50
11,93,1,71,1,117373,1,82,17,97
2,30,1,77,1,151292,0,69,22,75
3,35,1,68,1,163837,1,95,7,83
11,73,0,80,1,98820,0,80,22,83
4,70,0,56,0,177370,0,8,12,49
10,47,0,84,1,71535,1,25,19,66
4,55,1,60,0,163093,0,38,16,85
1,83,1,52,0,180004,1,77,11,78
9,41,0,41,0,91503,1,81,10,68
8,87,1,95,1,86878,1,52,7,61
12,37,1,60,1,122151,0,5,16,58
6,40,1,82,1,63179,1,92,23,61
5,49,1,64,1,117759,1,33,9,99
7,41,1,86,1,105351,0,33,8,46
13,89,0,41,0,73340,0,97,8,66
9,74,1,83,1,197415,0,67,18,96
7,38,0,89,0,199781,1,71,18,46
8,73,0,79,0,108525,0,49,20,44
7,82,1,89,0,174416,1,6,23,67
8,81,0,61,0,98778,1,38,16,76
8,93,1,80,1,113397,0,98,9,62
4,80,1,67,0,158445,1,1,7,54
13,45,0,63,1,165838,0,76,10,64
6,48,1,89,0,89456,0,39,18,97
8,57,1,46,1,159736,1,95,19,97
5,34,0,64,1,93217,0,33,19,72
2,39,0,59,0,88409,0,56,17,77
12,77,0,88,0,140733,1,24,11,93
10,46,0,80,0,133163,0,21,11,64
4,60,1,40,1,135862,0,59,10,85
5,39,1,81,0,102310,1,15,10,79
13,33,0,52,1,165045,1,16,20,86
6,37,1,91,1,100424,0,81,6,56
6,41,1,69,1,129074,1,80,17,44
12,65,0,94,0,149337,1,11,11,51
12,67,1,44,0,167575,0,12,7,70
4,76,1,61,0,141921,1,73,5,49
13,84,1,65,0,133598,1,7,11,56
1,88,0,93,0,181613,1,41,21,67
2,52,0,79,1,138484,0,78,16,62
3,97,0,63,1,93970,1,79,16,71
5,70,0,43,1,83141,0,7,20,94
9,51,1,94,0,93003,0,43,18,81
3,37,1,84,1,166171,1,51,21,65
1,41,1,72,1,53810,1,25,9,93
6,99,1,88,1,86597,1,49,14,80
13,66,0,67,1,96830,0,38,22,43
7,95,0,95,1,191187,0,23,23,69
11,32,0,64,0,88263,0,93,20,45
8,43,0,50,1,105049,1,49,14,92
5,35,0,77,0,182647,0,34,5,96
1,76,0,58,1,158880,1,30,7,88
8,97,0,46,0,180988,0,88,17,50
7,76,0,78,0,130350,0,61,23,45
12,51,1,49,0,86875,0,40,21,53
10,82,0,44,1,182868,0,69,11,73
9,99,0,84,1,60561,0,8,6,62
12,55,0,97,0,124030,1,93,9,62
10,64,1,65,1,182789,1,55,19,91
7,78,1,72,1,80983,1,79,8,56
7,62,0,92,1,61045,1,36,11,47
5,92,0,41,0,176309,1,30,11,98
2,87,1,96,0,131666,0,84,6,47
13,78,0,62,0,193995,1,37,7,49
8,69,0,87,1,108513,0,79,8,76
10,89,0,45,0,95123,1,8,21,65
7,49,1,98,1,199347,1,10,11,65
10,56,1,77,1,126265,1,89,11,53
11,90,1,74,1,55206,1,99,15,81
4,92,0,87,1,135733,0,95,17,48
1,90,0,92,1,64424,1,30,10,42
12,50,1,56,1,71087,0,46,13,90
12,85,1,65,1,191091,0,82,12,52
8,47,0,86,1,112587,0,24,14,43
11,76,0,55,1,73526,0,58,6,63
1,66,0,59,0,166571,1,59,12,56
3,61,0,91,0,192893,1,71,15,51
3,47,0,66,0,135476,0,74,22,54
13,64,1,49,1,111883,1,86,13,49
2,95,1,81,1,101162,0,19,16,47
2,55,0,79,1,138448,0,75,21,67
13,87,0,88,0,175166,1,26,7,82
2,38,0,79,0,149907,1,16,12,98
5,73,1,64,1,82120,1,26,11,65
2,76,0,58,1,91827,0,83,22,54
3,96,1,86,1,85568,0,46,23,58
9,33,1,68,1,136544,0,50,17,46
5,69,1,58,1,191115,0,24,6,47
1,43,0,92,1,121656,0,91,21,47
2,42,1,51,0,146527,1,25,14,87
12,49,0,56,1,100665,0,37,23,78
5,83,1,77,0,94642,1,15,14,53
13,82,1,55,0,195548,0,79,16,97
10,95,0,59,0,73510,0,56,19,89
4,37,0,46,0,81751,0,30,12,65
12,44,1,66,1,163020,1,9,21,67
11,85,1,47,1,97895,0,31,11,67
13,74,1,65,1,79040,0,54,23,82
11,35,1,52,0,78678,0,93,15,41
12,63,0,59,0,165612,0,18,12,68
13,80,0,60,1,136349,0,84,21,70
13,58,1,99,0,68574,1,92,19,47
3,88,1,86,1,185567,1,83,17,95
12,80,1,45,1,138507,0,40,9,53
5,81,1,57,1,179075,1,76,12,78
3,75,0,43,0,128024,0,81,16,97
3,84,1,76,1,120687,0,58,8,44
10,84,1,75,1,62690,0,91,17,89
3,94,1,76,0,198660,0,71,17,93
10,41,1,96,1,59685,0,45,7,61
2,69,1,76,0,137506,0,11,20,47
5,91,1,59,0,108752,0,17,21,58
1,86,0,47,1,88955,0,99,18,87
10,50,1,48,1,73392,0,48,17,41
6,31,0,53,0,129548,1,15,15,89
6,76,1,85,1,141570,1,11,16,58
7,34,0,66,0,89688,0,75,11,94
13,42,1,45,1,56500,0,49,18,79
4,39,1,85,1,53330,0,71,7,90
12,76,1,53,0,149343,1,74,8,74
6,86,1,83,1,186772,0,23,18,99
6,70,0,60,0,68923,0,53,17,83
6,97,0,90,0,59242,1,97,20,43
7,33,1,59,0,85129,1,73,8,60
9,58,1,80,1,179113,1,94,22,52
13,45,1,45,0,126702,0,14,21,53
13,59,0,96,1,109416,1,53,10,41
5,56,0,77,0,196062,0,59,21,71
8,77,1,50,1,122998,1,55,11,41
3,72,1,72,1,68032,0,29,19,55
5,95,1,75,0,54561,0,94,16,98
13,85,1,80,0,144964,1,98,18,94
3,80,1,86,0,107249,0,65,12,49
3,77,0,53,0,130431,1,23,14,60
9,33,0,71,0,165023,1,69,15,60
1,83,0,40,1,125021,1,69,12,90
5,68,0,76,0,56050,1,42,9,46
3,81,1,76,0,99480,1,12,11,54
6,59,0,40,0,137950,0,41,16,90
1,51,0,56,1,193466,0,33,19,86
1,53,0,55,0,65819,0,28,5,78
2,59,1,86,0,77514,0,9,14,53
6,68,1,43,1,185387,1,66,10,66
12,77,0,58,0,164720,1,48,10,64
1,51,0,60,1,199873,1,4,13,96
12,40,1,54,1,131106,1,50,17,75
3,69,0,51,1,130806,0,54,15,95
4,35,0,53,0,68401,1,10,19,55
1,55,0,91,0,181677,1,14,22,86
9,40,1,96,0,79290,1,76,15,52
4,44,0,67,1,151919,1,39,6,50
11,92,0,98,1,106472,0,27,5,81
11,53,1,50,0,88334,0,0,6,72
3,50,0,67,1,149102,1,26,8,46
7,35,0,79,1,86211,0,96,23,73
12,43,0,99,1,138709,1,98,21,84
7,70,1,87,0,81445,0,89,17,90
8,43,0,53,1,164270,1,24,15,71
2,52,0,87,1,160025,0,62,5,46
11,97,1,66,0,127591,1,61,9,97
10,41,0,43,1,176734,0,84,18,79
13,86,0,68,0,55752,0,3,23,82
13,74,1,63,0,113289,0,84,8,95
2,91,1,51,0,181498,1,13,23,80
4,90,0,57,0,66397,0,72,13,99
3,98,1,61,1,133852,1,54,8,89
9,80,0,57,0,163315,1,16,11,58
3,40,0,85,0,71052,1,43,16,98
9,66,0,72,1,71235,1,6,14,65
5,69,0,95,0,95651,1,28,21,65
5,71,1,47,1,73376,0,58,17,57
7,91,0,46,1,150424,1,75,22,42
3,65,0,88,1,71025,0,76,18,69
4,34,0,97,1,190276,0,20,19,69
8,58,1,87,1,193274,0,77,8,66
9,89,1,54,1,180537,0,61,10,66
11,44,0,80,1,72510,1,93,15,72
9,72,1,99,0,67463,1,43,11,57
4,76,0,41,1,94479,0,43,22,99
9,84,0,59,0,181355,1,60,22,66
11,42,1,94,0,126310,0,77,12,67
10,87,1,62,0,180571,0,94,19,40
5,34,1,85,1,117639,1,63,5,83
2,84,1,50,1,194137,1,39,16,60
5,59,0,48,0,97769,1,6,15,74
2,86,1,81,1,77743,0,96,11,73
5,87,1,53,1,127884,1,92,6,93
7,73,0,58,0,71032,0,6,16,96
5,57,0,53,0,182339,0,56,10,82
5,46,1,75,1,137402,0,87,21,85
8,99,0,97,0,92581,1,59,20,81
13,97,1,56,0,133546,1,68,8,89
13,74,0,99,0,58522,1,69,16,70
1,35,1,56,1,145121,1,86,21,74
9,37,0,64,1,130266,0,88,9,92
11,46,0,90,1,135134,1,4,22,50
7,57,0,98,0,52877,0,60,22,77
6,71,1,58,0,121686,1,61,13,87
9,78,0,64,1,138082,1,83,10,63
4,93,1,43,1,181248,0,89,18,64
12,70,0,55,0,76780,0,0,16,93
2,72,1,73,1,149204,1,68,16,96
8,31,1,46,0,94466,1,73,13,70
8,42,0,86,0,133708,1,83,21,67
3,56,1,81,0,82798,0,25,19,91
10,42,1,84,1,195286,1,66,21,88
5,57,0,71,1,151933,0,97,15,79
6,70,0,89,0,191414,0,93,18,82
5,55,1,50,1,84173,1,74,10,70
11,31,1,93,0,193395,0,43,11,89
11,89,0,82,0,170971,0,46,23,54
8,68,1,81,0,139206,0,29,18,67
13,72,0,95,0,58239,0,52,16,85
11,80,1,62,0,134979,0,68,18,91
4,93,1,47,0,156345,0,9,13,62
5,35,0,71,1,77523,0,50,18,47
9,76,0,77,0,140086,1,28,8,49
9,83,0,75,0,133994,1,40,18,50
11,79,0,91,0,115188,0,9,8,90
1,91,0,86,1,58131,1,76,11,50
9,31,1,64,1,154372,1,29,13,40
8,99,1,70,1,57818,0,80,13,82
8,89,1,64,0,93080,1,25,23,77
3,52,1,64,1,183367,1,83,22,67
13,87,0,91,0,152085,1,62,17,89
7,69,0,83,1,153645,1,21,14,75
4,83,1,85,0,158470,0,90,17,62
5,67,1,44,0,112474,0,46,12,53
1,89,1,96,0,87891,0,94,16,47
4,41,0,46,1,82802,0,11,9,48
8,94,0,50,0,61761,1,2,12,88
8,49,1,85,1,81387,0,96,18,53
1,73,0,76,1,148699,1,77,11,87
12,52,1,76,0,70116,0,4,9,42
9,63,1,87,0,117858,0,76,15,83
13,47,0,82,0,184253,1,50,6,58
8,44,0,90,1,125064,1,22,21,86
10,97,1,87,1,113700,0,72,23,85
10,53,1,48,0,74028,0,23,16,68
9,66,1,77,0,94934,0,98,18,82
12,98,1,61,1,107960,0,27,15,77
8,57,1,44,1,104740,1,78,22,44
10,36,0,63,0,58962,1,81,18,94
8,93,0,57,1,184665,1,77,11,82
6,53,0,86,1,79550,0,45,18,96
12,54,1,68,1,55473,0,59,20,78
3,91,0,78,0,61079,1,98,10,62
12,94,0,88,1,87126,0,58,11,65
13,66,0,49,1,84151,1,3,9,57
10,42,1,70,0,191893,1,46,5,52
8,42,0,49,1,129737,0,85,9,78
13,64,1,64,1,121170,1,62,18,84
2,35,1,54,0,107218,1,53,19,86
4,93,0,67,0,146631,1,32,8,87
6,35,0,94,1,50607,0,55,18,56
11,49,0,40,1,98013,0,24,7,51
3,99,0,84,0,146829,0,68,19,48
11,95,1,80,1,173259,0,4,10,89
6,72,0,55,1,140731,1,29,13,67
6,41,1,96,0,67886,1,68,23,40
2,95,1,52,1,161523,0,89,22,83
13,98,0,88,0,198999,0,97,10,69
11,71,1,59,1,142060,1,63,18,70
9,56,1,69,1,135621,1,90,9,50
10,91,0,78,1,154294,1,72,22,43
3,68,0,87,1,197381,1,8,18,58
8,50,1,41,0,106680,0,61,9,69
12,54,1,89,0,69508,0,33,18,90
4,78,0,91,1,109426,0,57,11,56
11,82,1,71,1,61655,1,7,8,52
3,46,0,57,1,70697,1,76,22,65
12,84,0,48,0,180594,0,82,13,45
8,60,0,66,1,103086,0,55,9,62
13,96,0,40,1,58873,0,85,22,74
8,92,1,48,0,177107,1,16,21,79
8,32,0,79,1,64200,0,3,8,73
13,97,0,53,1,120811,1,73,23,73
13,69,1,66,0,108628,0,53,22,79
1,98,1,53,1,85975,0,25,18,86
3,85,0,75,0,81832,0,54,23,58
12,68,0,41,0,54232,1,67,5,88
12,53,0,50,0,84416,1,50,21,80
2,76,0,43,1,121274,1,16,15,70
7,74,0,65,0,159004,0,21,6,76
1,73,1,75,0,163876,1,89,8,96
3,94,0,87,1,158269,0,48,18,44
10,49,0,59,1,172586,0,65,17,91
4,45,1,56,0,127845,1,11,12,52
4,69,1,87,1,132546,1,54,19,66
12,83,0,67,0,58024,1,57,13,61
1,85,0,81,1,189715,1,64,11,40
11,86,0,62,1,166948,1,36,17,76
10,78,0,88,1,117093,1,54,17,96
7,70,0,42,0,169866,1,95,19,44
7,40,1,86,0,54243,0,6,11,49
10,94,1,90,0,108406,1,79,11,74
13,82,1,49,0,165404,1,18,9,52
6,73,0,70,1,104292,0,42,5,64
9,67,1,40,0,106005,1,36,19,97
5,37,0,90,0,163160,1,52,13,44
1,46,1,98,1,72437,0,73,9,63
2,82,0,88,1,121169,1,17,21,89
6,52,1,63,1,147177,1,4,15,89
3,33,0,87,1,169466,0,39,19,45
7,93,0,44,0,111220,0,13,21,41
8,70,1,66,0,160128,1,22,13,53
8,72,1,55,0,72046,0,72,22,88
4,76,1,42,0,64330,1,56,11,45
6,65,0,56,0,75523,1,4,13,72
3,53,1,51,0,135354,0,56,12,70
4,55,1,99,1,192465,1,84,23,74
3,46,0,59,1,110501,1,94,9,88
5,60,1,44,0,157366,0,22,18,89
7,41,1,92,0,98441,0,2,9,68
2,56,0,51,1,187987,0,0,16,53
12,80,0,93,1,190146,0,99,5,79
9,37,0,44,1,61627,0,3,14,50
8,93,1,55,1,131833,0,66,13,71
8,74,1,66,0,142872,1,13,19,93
13,36,0,50,0,72458,0,77,15,89
6,78,1,74,1,176399,1,75,15,41
1,40,1,47,0,155732,0,63,19,85
13,51,1,78,0,69108,0,83,21,72
9,49,1,99,0,144040,1,10,23,76
12,95,1,41,0,172603,0,31,16,43
8,81,0,99,0,97287,0,78,9,95
13,45,1,79,0,115010,1,37,19,94
1,92,0,64,0,176586,0,27,12,96
2,58,0,81,1,137012,1,35,7,62
3,83,0,93,1,116504,1,17,14,45
2,59,0,89,0,129653,1,92,22,48
12,88,0,45,1,91691,0,46,20,54
5,45,1,88,1,179956,1,45,13,89
4,88,1,60,0,139141,0,68,10,54
8,78,1,92,0,126264,0,76,9,86
8,66,0,76,1,168984,1,52,13,52
10,74,1,78,0,187046,0,75,19,91
13,35,1,58,0,177345,1,11,19,62
4,44,0,76,0,161101,1,6,6,90
6,34,0,81,0,188021,1,25,22,61
11,53,0,46,0,165976,0,1,17,62
1,77,0,53,1,93548,0,66,16,49
9,37,0,45,1,181773,1,27,23,79
13,87,1,90,0,128100,0,75,6,55
3,37,1,65,1,106560,0,60,5,95
4,89,1,57,0,80978,1,0,8,54
4,55,1,93,1,58031,1,48,6,57
11,61,1,99,0,140955,1,90,19,83
6,53,1,53,1,130385,0,66,19,43
10,31,0,65,0,94468,1,36,10,44
3,69,1,85,1,61833,1,78,19,91
11,52,0,61,1,154260,1,39,17,82
2,93,0,89,1,158947,0,20,14,55
5,85,0,50,1,187849,1,6,15,58
10,97,1,58,1,135075,1,92,15,61
11,98,1,82,0,60453,1,71,8,48
9,81,0,40,0,141699,1,22,11,88
5,99,1,95,0,148654,1,23,21,42
3,54,0,58,0,144398,0,81,10,76
9,76,0,95,1,170908,1,24,12,46
5,57,1,55,1,193482,0,49,10,69
3,79,0,85,1,67212,1,11,11,74
13,68,0,44,1,177773,1,35,15,84
7,64,0,88,0,168043,1,71,11,75
5,84,0,49,1,165866,1,94,5,86
6,84,1,87,0,61019,1,83,22,90
5,82,0,67,0,143392,1,11,12,65
13,90,0,53,1,97084,0,85,8,60
2,78,1,49,1,166002,1,4,7,47
10,53,0,48,0,80927,1,38,18,91
9,93,0,41,1,187870,0,48,20,78
1,90,0,85,1,71544,0,2,9,96
10,54,0,40,1,164996,0,55,9,75
7,48,1,48,0,107856,0,32,15,67
4,97,1,62,0,120314,0,47,19,62
12,80,0,61,1,54645,0,6,11,70
1,70,1,86,0,180144,0,88,21,91
4,69,0,41,0,136828,0,93,18,61
1,91,0,41,0,101743,0,23,23,92
13,83,1,84,1,81983,1,7,18,80
2,99,0,47,1,98108,1,26,15,53
1,88,0,91,0,196123,1,97,9,51
8,82,0,95,1,152063,0,18,19,42
13,62,0,72,1,87132,1,29,16,80
13,97,0,54,0,157414,1,96,14,54
9,97,1,89,1,61621,0,55,12,81
5,85,1,60,0,196404,1,23,18,41
1,95,1,64,0,165018,0,39,13,78
10,80,1,55,0,179433,1,34,21,74
12,48,1,72,0,170954,1,89,5,69
2,55,1,44,1,145600,1,9,20,51
2,37,0,82,1,103262,0,74,13,92
4,94,1,60,0,66407,1,82,6,42
5,48,1,56,1,88350,0,58,15,56
13,42,1,40,0,133823,0,85,15,63
3,37,0,45,0,157649,0,8,20,92
8,93,0,43,0,91614,1,26,8,66
6,52,0,63,1,148751,0,72,17,59
11,59,0,55,1,73631,1,30,22,98
4,80,1,74,1,115507,0,51,13,61
10,71,1,54,0,76217,1,34,22,55
5,70,1,89,0,153449,1,3,9,67
5,57,0,59,1,135772,1,74,6,75
10,44,0,62,0,142620,1,5,9,50
4,88,1,87,0,193093,1,35,16,95
13,64,1,95,1,116456,0,90,13,92
7,57,0,98,0,68693,0,52,12,67
8,49,1,49,0,186012,1,5,7,76
2,86,1,53,1,138422,0,88,17,64
6,46,0,63,0,66321,0,40,20,68
9,61,1,87,0,64719,0,72,15,95
11,82,1,66,1,67068,1,87,15,45
10,81,0,58,0,125285,1,24,23,44
7,92,0,68,0,92370,1,51,18,90
2,73,0,65,0,61707,1,13,5,96
11,65,1,46,0,164299,0,33,13,85
10,34,1,71,1,168084,1,87,20,51
11,77,1,59,0,195178,0,57,16,59
12,74,0,60,0,91855,0,61,12,53
10,97,1,97,0,82093,0,16,7,48
2,95,0,56,1,175709,0,93,20,95
2,85,0,52,0,118494,0,43,21,96
12,49,1,67,0,144859,0,29,5,56
7,81,1,71,1,112759,0,81,18,85
4,92,1,42,1,67699,0,61,12,89
13,91,1,98,1,118423,1,11,5,78
2,62,0,41,1,121207,0,65,7,72
11,99,1,93,0,129156,0,22,7,50
10,68,1,90,0,82176,0,23,9,84
13,34,1,72,0,187394,0,20,19,44
12,97,1,77,0,167011,1,25,22,67
12,73,0,68,0,63400,1,8,8,41
12,89,1,92,0,107136,0,15,18,75
13,92,0,83,1,90978,1,80,11,64
7,43,1,67,0,175119,1,17,19,99
13,53,0,93,0,146760,0,73,20,60
3,91,1,55,0,169313,0,50,10,68
8,59,0,61,0,98063,0,27,9,54
3,57,0,49,1,106169,1,15,16,96
13,81,1,72,1,132393,1,35,12,42
6,65,1,83,0,116591,1,50,23,58
11,68,0,71,0,158947,1,87,6,52
3,52,0,90,1,197646,0,59,16,76
3,37,0,61,0,146681,1,35,11,81
9,39,0,54,0,69677,1,81,13,98
6,91,0,82,1,64127,1,9,15,44
12,75,1,49,1,179683,1,30,9,81
2,31,1,72,1,147275,0,44,21,92
4,99,1,51,0,59113,1,42,21,90
10,70,0,44,1,77930,0,9,22,49
9,50,1,44,1,173262,0,90,12,90
1,57,1,52,1,68194,0,16,21,99
10,62,0,68,1,107135,1,19,14,41
8,35,0,57,1,96428,0,97,19,45
3,97,1,47,1,81262,1,14,6,58
13,91,0,73,0,146583,1,54,23,85
5,63,1,66,1,151986,1,81,6,73
12,46,0,54,1,179626,0,24,13,61
9,98,1,58,1,127517,1,46,19,81
12,36,0,54,0,119907,0,91,17,80
2,54,0,66,1,123447,1,5,14,88
8,77,0,60,1,82739,1,48,15,92
8,60,0,57,1,60611,0,38,10,82
9,39,0,46,0,102543,1,90,22,56
8,70,1,97,0,76600,1,3,14,69
3,76,1,54,1,144680,0,30,17,87
4,73,1,63,0,62740,0,43,15,90
8,50,1,95,0,76712,0,28,21,67
1,62,1,63,1,84204,0,54,10,40
12,79,0,85,0,102218,1,70,20,84
8,66,0,63,0,108655,1,64,6,76
9,71,0,67,0,104090,0,2,23,51
11,97,1,55,0,96179,0,32,23,65
11,43,0,42,1,82627,0,85,18,82
2,43,0,56,0,174914,1,4,16,45
2,52,0,96,0,141485,0,95,16,96
1,31,0,53,0,179614,1,35,16,77
2,36,0,72,0,150620,0,74,23,94
9,35,1,81,0,130471,0,88,6,70
9,34,0,74,1,189299,1,10,5,47
5,81,1,84,1,177072,1,63,10,51
7,65,0,79,1,180164,1,74,13,84
10,48,1,72,0,52833,1,79,8,63
8,70,1,94,1,55416,1,35,20,98
2,94,0,43,0,187314,1,85,22,59
6,90,1,44,1,178203,1,80,11,64
12,56,0,97,1,175278,1,53,19,47
9,87,1,61,1,120786,1,61,10,83
8,71,0,70,0,88746,0,87,16,81
2,50,0,86,0,78823,1,65,7,43
5,31,1,45,1,76892,1,44,18,41
10,59,1,94,1,139883,1,24,10,76
4,65,0,93,0,97412,1,50,19,87
6,61,0,91,0,143369,1,1,21,44
9,85,0,51,0,73491,1,5,9,49
12,54,1,45,0,102142,0,5,20,74
7,74,1,78,1,51401,1,47,21,45
1,31,0,40,1,171776,1,55,12,61
3,46,0,71,1,113871,1,68,9,54
2,76,0,43,0,145577,0,67,6,94
6,74,1,49,0,96990,1,34,18,95
7,89,0,43,0,176695,1,10,13,56
4,60,1,51,0,177992,0,42,13,60
9,82,1,53,0,59982,1,34,19,57
4,47,0,88,1,56018,1,29,17,83
12,59,0,72,1,128711,0,48,14,70
8,49,1,79,1,186709,1,6,8,92
6,55,1,67,0,110947,1,83,22,58
10,47,0,56,0,72472,1,95,20,76
6,63,0,90,0,70401,0,26,7,64
9,44,1,54,1,133197,1,46,23,50
6,59,1,66,0,103873,0,75,21,91
11,57,1,81,1,93432,0,97,23,90
